Number| Answer            | QuestionNumber | IsCorrect
1     | Океания           | 1              | true
2     | Азия              | 1              | false
3     | Африка            | 1              | false
4     | Европа            | 1              | false

5     | Виргинские острова| 2              | false
6     | Остров Рождества  | 2              | true
7     | Гернси            | 2              | false
8     | Остров Норфолк    | 2              | false

9     | Европа            | 3              | true
10    | Африка            | 3              | false
11    | Азия              | 3              | false
12    | Южная Америка     | 3              | false

13    | Апеннинские горы  | 4              | false
14    | Вогезы            | 4              | false
15    | Карпаты           | 4              | true
16    | Уральские горы    | 4              | false

17    | Сирия             | 5              | true
18    | Афганистан        | 5              | false
19    | Перу              | 5              | false
20    | Швейцария         | 5              | false

